"Â Date","Â Venue","Â Team","Score","Margin","Win Odds","Win Paid","Line Odds","by","ratio","Line Paid","Round"
"2 Apr 15","MCG","Blues","78","-27","2.55","0.00","+10.5",":","1.95","0.00","2015 Round 1"
"2 Apr 15","MCG","Tigers","105","+27","1.54","1.54","-10.5",":","1.85","1.85","2015 Round 1"
"4 Apr 15","MCG","Demons","115","+26","3.15","3.15","+15.5",":","1.91","1.91","2015 Round 1"
"4 Apr 15","MCG","Suns","89","-26","1.38","0.00","-15.5",":","1.91","0.00","2015 Round 1"
"4 Apr 15","ANZ","Swans","72","+12","1.35","1.35","-22.5",":","1.95","0.00","2015 Round 1"
"4 Apr 15","ANZ","Bombers","60","-12","3.30","0.00","+22.5",":","1.85","1.85","2015 Round 1"
"4 Apr 15","Gabba","Lions","74","-12","1.48","0.00","-12.5",":","1.85","0.00","2015 Round 1"
"4 Apr 15","Gabba","Magpies","86","+12","2.70","2.70","+12.5",":","1.95","1.95","2015 Round 1"
"4 Apr 15","Etihad","Bulldogs","97","+10","2.65","2.65","+12.5",":","1.91","1.91","2015 Round 1"
"4 Apr 15","Etihad","Eagles","87","-10","1.50","0.00","-12.5",":","1.91","0.00","2015 Round 1"
"5 Apr 15","Etihad","Saints","78","-9","3.60","0.00","+20.5",":","1.95","1.95","2015 Round 1"
"5 Apr 15","Etihad","Giants","87","+9","1.30","1.30","-20.5",":","1.85","0.00","2015 Round 1"
"5 Apr 15","Adelaide","Crows","140","+77","1.72","1.72","-5.5",":","1.91","1.91","2015 Round 1"
"5 Apr 15","Adelaide","Kangaroos","63","-77","2.15","0.00","+5.5",":","1.91","0.00","2015 Round 1"
"5 Apr 15","Domain","Dockers","75","+7","1.70","1.70","-4.5",":","1.85","1.85","2015 Round 1"
"5 Apr 15","Domain","Power","68","-7","2.20","0.00","+4.5",":","1.95","0.00","2015 Round 1"
"6 Apr 15","MCG","Hawks","123","+62","1.37","1.37","-18.5",":","1.85","1.85","2015 Round 1"
"6 Apr 15","MCG","Cats","61","-62","3.20","0.00","+18.5",":","1.95","0.00","2015 Round 1"
"10 Apr 15","Domain","Eagles","131","+69","1.50","1.50","-12.5",":","1.91","1.91","2015 Round 2"
"10 Apr 15","Domain","Blues","62","-69","2.60","0.00","+12.5",":","1.91","0.00","2015 Round 2"
"11 Apr 15","MCG","Tigers","66","-19","1.38","0.00","-18.5",":","1.91","0.00","2015 Round 2"
"11 Apr 15","MCG","Bulldogs","85","+19","3.05","3.05","+18.5",":","1.91","1.91","2015 Round 2"
"11 Apr 15","StarTrack","Giants","101","+45","1.45","1.45","-16.5",":","1.91","1.91","2015 Round 2"
"11 Apr 15","StarTrack","Demons","56","-45","2.75","0.00","+16.5",":","1.91","0.00","2015 Round 2"
"11 Apr 15","Etihad","Magpies","63","-27","2.65","0.00","+12.5",":","1.95","0.00","2015 Round 2"
"11 Apr 15","Etihad","Crows","90","+27","1.48","1.48","-12.5",":","1.85","1.85","2015 Round 2"
"11 Apr 15","Adelaide","Power","44","-48","1.70","0.00","-5.5",":","1.91","0.00","2015 Round 2"
"11 Apr 15","Adelaide","Swans","92","+48","2.15","2.15","+5.5",":","1.91","1.91","2015 Round 2"
"11 Apr 15","Metricon","Suns","76","-28","1.20","0.00","-30.5",":","1.91","0.00","2015 Round 2"
"11 Apr 15","Metricon","Saints","104","+28","4.50","4.50","+30.5",":","1.91","1.91","2015 Round 2"
"12 Apr 15","Simonds","Cats","60","-44","1.95","0.00","-5.5",":","2.10","0.00","2015 Round 2"
"12 Apr 15","Simonds","Dockers","104","+44","1.85","1.85","-5.5",":","2.10","2.10","2015 Round 2"
"12 Apr 15","MCG","Bombers","78","+2","4.50","4.50","+28.5",":","1.91","1.91","2015 Round 2"
"12 Apr 15","MCG","Hawks","76","-2","1.20","0.00","-28.5",":","1.91","0.00","2015 Round 2"
"12 Apr 15","Etihad","Kangaroos","133","+82","1.15","1.15","-35.5",":","1.91","1.91","2015 Round 2"
"12 Apr 15","Etihad","Lions","51","-82","5.50","0.00","+35.5",":","1.91","0.00","2015 Round 2"
"17 Apr 15","MCG","Magpies","140","+74","1.40","1.40","-16.5",":","1.91","1.91","2015 Round 3"
"17 Apr 15","MCG","Saints","66","-74","3.00","0.00","+16.5",":","1.91","0.00","2015 Round 3"
"18 Apr 15","Adelaide","Crows","80","+25","1.08","1.08","-48.5",":","1.91","0.00","2015 Round 3"
"18 Apr 15","Adelaide","Demons","55","-25","8.00","0.00","+48.5",":","1.91","1.91","2015 Round 3"
"18 Apr 15","MCG","Blues","84","-21","4.00","0.00","+26.5",":","1.91","1.91","2015 Round 3"
"18 Apr 15","MCG","Bombers","105","+21","1.25","1.25","-26.5",":","1.91","0.00","2015 Round 3"
"18 Apr 15","SCG","Swans","111","+21","1.15","1.15","-35.5",":","1.91","0.00","2015 Round 3"
"18 Apr 15","SCG","Giants","90","-21","5.50","0.00","+35.5",":","1.91","1.91","2015 Round 3"
"18 Apr 15","Gabba","Lions","58","-79","2.65","0.00","+13.5",":","1.91","0.00","2015 Round 3"
"18 Apr 15","Gabba","Tigers","137","+79","1.48","1.48","-13.5",":","1.91","1.91","2015 Round 3"
"18 Apr 15","Etihad","Kangaroos","105","-8","2.00","0.00","+1.5",":","1.91","0.00","2015 Round 3"
"18 Apr 15","Etihad","Power","113","+8","1.83","1.83","-1.5",":","1.91","1.91","2015 Round 3"
"19 Apr 15","Aurora","Hawks","127","+70","1.10","1.10","-45.5",":","1.91","1.91","2015 Round 3"
"19 Apr 15","Aurora","Bulldogs","57","-70","7.00","0.00","+45.5",":","1.91","0.00","2015 Round 3"
"19 Apr 15","Domain","Eagles","81","-30","3.40","0.00","+19.5",":","1.91","0.00","2015 Round 3"
"19 Apr 15","Domain","Dockers","111","+30","1.32","1.32","-19.5",":","1.91","1.91","2015 Round 3"
"19 Apr 15","Simonds","Cats","105","+9","1.14","1.14","-37.5",":","1.91","0.00","2015 Round 3"
"19 Apr 15","Simonds","Suns","96","-9","5.75","0.00","+37.5",":","1.91","1.91","2015 Round 3"
"24 Apr 15","MCG","Tigers","51","-32","1.32","0.00","-21.5",":","1.95","0.00","2015 Round 4"
"24 Apr 15","MCG","Demons","83","+32","3.55","3.55","+21.5",":","1.85","1.85","2015 Round 4"
"25 Apr 15","Westpac","Saints","81","-40","3.05","0.00","+20.5",":","1.91","0.00","2015 Round 4"
"25 Apr 15","Westpac","Blues","121","+40","1.40","1.40","-20.5",":","1.91","1.91","2015 Round 4"
"25 Apr 15","MCG","Bombers","49","-20","1.42","0.00","-15.5",":","1.85","0.00","2015 Round 4"
"25 Apr 15","MCG","Magpies","69","+20","2.95","2.95","+15.5",":","1.95","1.95","2015 Round 4"
"25 Apr 15","StarTrack","Giants","119","+66","1.36","1.36","-20.5",":","1.91","1.91","2015 Round 4"
"25 Apr 15","StarTrack","Suns","53","-66","3.25","0.00","+20.5",":","1.91","0.00","2015 Round 4"
"25 Apr 15","Domain","Dockers","74","+14","1.57","1.57","-9.5",":","1.91","1.91","2015 Round 4"
"25 Apr 15","Domain","Swans","60","-14","2.45","0.00","+9.5",":","1.91","0.00","2015 Round 4"
"25 Apr 15","Adelaide","Power","99","+8","2.55","2.55","+12.5",":","1.91","1.91","2015 Round 4"
"25 Apr 15","Adelaide","Hawks","91","-8","1.53","0.00","-12.5",":","1.91","0.00","2015 Round 4"
"26 Apr 15","Gabba","Lions","65","-53","2.65","0.00","+14.5",":","1.91","0.00","2015 Round 4"
"26 Apr 15","Gabba","Eagles","118","+53","1.50","1.50","-14.5",":","1.91","1.91","2015 Round 4"
"26 Apr 15","Simonds","Cats","67","-16","2.25","0.00","+6.5",":","1.91","0.00","2015 Round 4"
"26 Apr 15","Simonds","Kangaroos","83","+16","1.67","1.67","-6.5",":","1.91","1.91","2015 Round 4"
"26 Apr 15","Etihad","Bulldogs","125","+57","4.00","4.00","+25.5",":","1.91","1.91","2015 Round 4"
"26 Apr 15","Etihad","Crows","68","-57","1.25","0.00","-25.5",":","1.91","0.00","2015 Round 4"
"1 May 15","MCG","Blues","45","-75","2.30","0.00","+8.5",":","1.91","0.00","2015 Round 5"
"1 May 15","MCG","Magpies","120","+75","1.63","1.63","-8.5",":","1.91","1.91","2015 Round 5"
"2 May 15","MCG","Tigers","76","-9","1.63","0.00","-7.5",":","1.91","0.00","2015 Round 5"
"2 May 15","MCG","Cats","85","+9","2.30","2.30","+7.5",":","1.91","1.91","2015 Round 5"
"2 May 15","SCG","Swans","73","-4","1.17","0.00","-34.5",":","1.91","0.00","2015 Round 5"
"2 May 15","SCG","Bulldogs","77","+4","5.00","5.00","+34.5",":","1.91","1.91","2015 Round 5"
"2 May 15","Metricon","Suns","118","+64","1.81","1.81","-2.5",":","1.91","1.91","2015 Round 5"
"2 May 15","Metricon","Lions","54","-64","2.00","0.00","+2.5",":","1.91","0.00","2015 Round 5"
"2 May 15","Domain","Eagles","120","+87","1.60","1.60","-8.5",":","1.91","1.91","2015 Round 5"
"2 May 15","Domain","Giants","33","-87","2.35","0.00","+8.5",":","1.91","0.00","2015 Round 5"
"2 May 15","Etihad","Kangaroos","70","-60","3.15","0.00","+20.5",":","1.91","0.00","2015 Round 5"
"2 May 15","Etihad","Hawks","130","+60","1.35","1.35","-20.5",":","1.91","1.91","2015 Round 5"
"3 May 15","MCG","Demons","50","-68","5.00","0.00","+30.5",":","1.91","0.00","2015 Round 5"
"3 May 15","MCG","Dockers","118","+68","1.17","1.17","-30.5",":","1.91","1.91","2015 Round 5"
"3 May 15","Etihad","Saints","80","-2","5.50","0.00","+37.5",":","1.91","1.91","2015 Round 5"
"3 May 15","Etihad","Bombers","82","+2","1.15","1.15","-37.5",":","1.91","0.00","2015 Round 5"
"3 May 15","Adelaide","Crows","91","-24","2.30","0.00","+8.5",":","1.91","0.00","2015 Round 5"
"3 May 15","Adelaide","Power","115","+24","1.62","1.62","-8.5",":","1.91","1.91","2015 Round 5"
"8 May 15","MCG","Magpies","59","-41","1.62","0.00","-8.5",":","1.91","0.00","2015 Round 6"
"8 May 15","MCG","Cats","100","+41","2.35","2.35","+8.5",":","1.91","1.91","2015 Round 6"
"9 May 15","Blundstone","Kangaroos","109","+35","1.50","1.50","-12.5",":","1.91","1.91","2015 Round 6"
"9 May 15","Blundstone","Tigers","74","-35","2.60","0.00","+12.5",":","1.91","0.00","2015 Round 6"
"9 May 15","Etihad","Bulldogs","87","-7","1.38","0.00","-17.5",":","1.91","0.00","2015 Round 6"
"9 May 15","Etihad","Saints","94","+7","3.05","3.05","+17.5",":","1.91","1.91","2015 Round 6"
"9 May 15","Spotless","Giants","108","+10","3.75","3.75","+25.5",":","1.91","1.91","2015 Round 6"
"9 May 15","Spotless","Hawks","98","-10","1.27","0.00","-25.5",":","1.91","0.00","2015 Round 6"
